,alcohol,malicacid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,0D280_0D315_of_diluted_wines,proline,class
20,2.0,1.0,2.0,2.0,7.0,4.0,5.0,1.0,3.0,4.0,2.0,5.0,5.0,1
21,1.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,5.0,1
22,2.0,1.0,2.0,3.0,4.0,3.0,5.0,1.0,2.0,2.0,3.0,5.0,8.0,1
23,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,5.0,7.0,1
24,1.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,5.0,6.0,1
25,1.0,1.0,4.0,7.0,7.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,1
26,1.0,1.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,9.0,1
27,1.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,10.0,1
28,2.0,1.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,6.0,1
29,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,8.0,1
30,2.0,0.0,3.0,6.0,4.0,4.0,6.0,1.0,4.0,4.0,3.0,3.0,10.0,1
31,2.0,1.0,2.0,4.0,4.0,3.0,6.0,1.0,3.0,5.0,2.0,3.0,13.0,1
32,2.0,1.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,7.0,1
33,2.0,0.0,3.0,4.0,8.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,10.0,1
34,1.0,1.0,3.0,4.0,5.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,8.0,1
35,1.0,1.0,2.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,2.0,4.0,6.0,1
36,1.0,1.0,3.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,6.0,1
37,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,8.0,1
38,1.0,0.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,7.0,1
39,2.0,3.0,3.0,1.0,7.0,4.0,5.0,0.0,3.0,3.0,2.0,4.0,5.0,1
40,1.0,1.0,2.0,2.0,6.0,4.0,6.0,2.0,4.0,4.0,2.0,4.0,5.0,1
41,1.0,3.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,8.0,1
42,2.0,1.0,3.0,2.0,4.0,4.0,6.0,0.0,2.0,4.0,1.0,5.0,8.0,1
43,1.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0,4.0,1
44,1.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,3.0,3.0,1.0,4.0,6.0,1
45,2.0,3.0,2.0,4.0,5.0,3.0,4.0,1.0,1.0,4.0,1.0,4.0,8.0,1
46,2.0,3.0,2.0,2.0,4.0,4.0,5.0,1.0,3.0,3.0,2.0,4.0,8.0,1
47,2.0,1.0,2.0,2.0,4.0,4.0,6.0,0.0,3.0,4.0,2.0,4.0,7.0,1
48,2.0,1.0,2.0,4.0,4.0,3.0,5.0,2.0,4.0,5.0,2.0,3.0,8.0,1
49,2.0,1.0,2.0,3.0,4.0,3.0,6.0,2.0,3.0,7.0,3.0,4.0,10.0,1
50,1.0,1.0,1.0,0.0,2.0,3.0,6.0,0.0,5.0,6.0,3.0,3.0,9.0,1
51,2.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,4.0,4.0,3.0,4.0,10.0,1
52,2.0,1.0,2.0,1.0,5.0,5.0,7.0,2.0,3.0,5.0,2.0,4.0,9.0,1
53,2.0,1.0,3.0,3.0,5.0,4.0,5.0,2.0,2.0,5.0,3.0,3.0,11.0,1
54,2.0,1.0,2.0,2.0,6.0,3.0,5.0,0.0,2.0,4.0,2.0,4.0,8.0,1
55,1.0,1.0,2.0,5.0,6.0,4.0,5.0,0.0,4.0,5.0,2.0,3.0,9.0,1
56,2.0,1.0,2.0,2.0,6.0,4.0,5.0,1.0,3.0,5.0,2.0,4.0,7.0,1
57,1.0,1.0,3.0,3.0,4.0,4.0,6.0,2.0,2.0,4.0,2.0,3.0,10.0,1
58,2.0,0.0,3.0,3.0,4.0,5.0,7.0,0.0,3.0,5.0,2.0,3.0,10.0,1
59,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,2
60,1.0,0.0,2.0,2.0,4.0,2.0,1.0,5.0,0.0,2.0,3.0,0.0,4.0,2
61,1.0,0.0,1.0,3.0,3.0,2.0,2.0,4.0,0.0,4.0,2.0,0.0,1.0,2
62,2.0,0.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,3.0,2
63,1.0,0.0,2.0,4.0,2.0,5.0,5.0,0.0,3.0,3.0,3.0,3.0,1.0,2
64,0.0,0.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,0.0,2
65,1.0,0.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,2
66,1.0,0.0,0.0,2.0,1.0,4.0,5.0,1.0,4.0,4.0,3.0,4.0,2.0,2
67,1.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,2
68,1.0,0.0,2.0,3.0,5.0,3.0,2.0,4.0,0.0,1.0,2.0,1.0,5.0,2
69,0.0,0.0,1.0,3.0,10.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,4.0,2
70,0.0,1.0,2.0,5.0,4.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,2
71,2.0,0.0,3.0,7.0,2.0,4.0,5.0,0.0,3.0,2.0,4.0,4.0,1.0,2
72,1.0,1.0,2.0,6.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2
73,1.0,1.0,3.0,9.0,9.0,4.0,5.0,0.0,3.0,2.0,4.0,4.0,7.0,2
74,0.0,0.0,2.0,5.0,4.0,4.0,3.0,0.0,2.0,1.0,2.0,4.0,6.0,2
75,0.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2
76,1.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,2
77,0.0,2.0,2.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2
78,1.0,0.0,1.0,2.0,8.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,5.0,2
79,1.0,3.0,2.0,6.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,2
80,0.0,0.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,0.0,2
81,1.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,2
82,0.0,0.0,3.0,6.0,1.0,2.0,2.0,3.0,2.0,0.0,4.0,3.0,3.0,2
83,1.0,3.0,2.0,6.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,2
84,0.0,0.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,2
85,1.0,0.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,4.0,1.0,2
86,0.0,1.0,2.0,6.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2
87,0.0,1.0,3.0,7.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,4.0,3.0,2
88,0.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,2
89,0.0,0.0,2.0,6.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,4.0,3.0,2
90,0.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2
91,0.0,0.0,2.0,5.0,2.0,0.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,2
92,1.0,0.0,2.0,5.0,1.0,0.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,2
93,0.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,0.0,3.0,4.0,0.0,2
94,0.0,1.0,2.0,3.0,3.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,0.0,2
95,1.0,0.0,2.0,4.0,11.0,3.0,4.0,2.0,6.0,1.0,3.0,2.0,7.0,2
96,0.0,1.0,3.0,5.0,8.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,2
97,0.0,0.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,2
98,1.0,0.0,1.0,4.0,2.0,5.0,7.0,1.0,3.0,3.0,2.0,3.0,4.0,2
99,0.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,1.0,4.0,3.0,1.0,2
100,0.0,1.0,0.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,2
101,1.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2
102,1.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,2
103,0.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2
104,1.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,5.0,4.0,2
105,1.0,2.0,2.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,4.0,0.0,2
106,0.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2
107,1.0,1.0,2.0,6.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2
108,0.0,0.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,0.0,2
109,0.0,0.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,1.0,2.0,4.0,4.0,2
110,0.0,3.0,1.0,4.0,4.0,4.0,4.0,1.0,6.0,1.0,1.0,3.0,3.0,2
111,1.0,2.0,2.0,5.0,2.0,3.0,4.0,1.0,1.0,0.0,2.0,3.0,0.0,2
112,0.0,2.0,4.0,4.0,4.0,1.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,2
113,0.0,0.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2
114,0.0,0.0,3.0,6.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,4.0,1.0,2
115,0.0,0.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,0.0,5.0,3.0,1.0,2
116,0.0,0.0,1.0,5.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,4.0,2.0,2
117,1.0,1.0,2.0,6.0,4.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0,0.0,2
118,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,2
119,0.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,2
120,0.0,1.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,2
121,0.0,1.0,4.0,9.0,6.0,4.0,9.0,3.0,3.0,4.0,2.0,5.0,2.0,2
122,1.0,4.0,3.0,8.0,4.0,2.0,3.0,3.0,2.0,0.0,2.0,4.0,0.0,2
123,1.0,5.0,2.0,5.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,2
124,0.0,4.0,2.0,5.0,1.0,3.0,5.0,0.0,5.0,1.0,1.0,5.0,1.0,2
125,0.0,1.0,2.0,5.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2
126,1.0,0.0,2.0,5.0,2.0,3.0,5.0,2.0,3.0,2.0,1.0,3.0,0.0,2
127,0.0,1.0,3.0,9.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,2.0,2.0,2
128,1.0,1.0,2.0,7.0,2.0,2.0,4.0,3.0,3.0,0.0,2.0,3.0,0.0,2
129,0.0,4.0,2.0,5.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2
130,1.0,0.0,2.0,3.0,6.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3
131,1.0,2.0,2.0,4.0,4.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,2.0,3
132,1.0,1.0,2.0,6.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,3.0,3
133,1.0,3.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,3
134,1.0,0.0,2.0,3.0,1.0,2.0,0.0,5.0,1.0,4.0,1.0,0.0,3.0,3
135,1.0,2.0,2.0,4.0,3.0,1.0,0.0,5.0,1.0,5.0,1.0,0.0,4.0,3
136,0.0,4.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,4.0,3
137,1.0,5.0,3.0,7.0,3.0,1.0,0.0,5.0,1.0,3.0,1.0,0.0,2.0,3
138,1.0,3.0,2.0,4.0,2.0,1.0,0.0,5.0,1.0,4.0,1.0,1.0,3.0,3
139,1.0,2.0,3.0,6.0,4.0,2.0,0.0,4.0,0.0,3.0,2.0,1.0,3.0,3
140,1.0,2.0,3.0,5.0,3.0,1.0,0.0,4.0,0.0,3.0,1.0,2.0,3.0,3
141,1.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,5.0,3
142,1.0,2.0,3.0,6.0,3.0,1.0,0.0,4.0,0.0,3.0,2.0,1.0,2.0,3
143,2.0,4.0,2.0,4.0,2.0,2.0,0.0,3.0,1.0,3.0,2.0,1.0,2.0,3
144,0.0,3.0,2.0,4.0,5.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,6.0,3
145,1.0,3.0,2.0,5.0,4.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,5.0,3
146,2.0,5.0,2.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,3
147,1.0,4.0,2.0,5.0,2.0,1.0,0.0,3.0,0.0,6.0,0.0,1.0,3.0,3
148,1.0,2.0,2.0,5.0,2.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,3.0,3
149,1.0,3.0,2.0,5.0,5.0,0.0,2.0,2.0,1.0,8.0,0.0,0.0,2.0,3
150,1.0,2.0,3.0,6.0,6.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,2.0,3
151,1.0,2.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,9.0,0.0,0.0,2.0,3
152,1.0,1.0,3.0,7.0,6.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,3
153,1.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,3.0,9.0,0.0,0.0,4.0,3
154,1.0,0.0,1.0,4.0,4.0,1.0,0.0,4.0,2.0,6.0,0.0,0.0,3.0,3
155,1.0,5.0,2.0,5.0,3.0,1.0,0.0,5.0,2.0,6.0,0.0,0.0,4.0,3
156,2.0,4.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,7.0,0.0,0.0,2.0,3
157,1.0,2.0,3.0,8.0,3.0,1.0,0.0,5.0,1.0,6.0,0.0,1.0,6.0,3
158,2.0,1.0,3.0,7.0,3.0,3.0,2.0,4.0,5.0,11.0,0.0,1.0,4.0,3
159,1.0,1.0,3.0,6.0,2.0,3.0,1.0,4.0,4.0,10.0,0.0,1.0,3.0,3
160,1.0,3.0,2.0,5.0,2.0,2.0,1.0,4.0,1.0,6.0,0.0,0.0,2.0,3
161,2.0,2.0,3.0,4.0,4.0,1.0,0.0,4.0,0.0,4.0,2.0,1.0,4.0,3
162,1.0,3.0,3.0,5.0,4.0,1.0,0.0,5.0,1.0,4.0,1.0,1.0,3.0,3
163,1.0,3.0,2.0,4.0,4.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,4.0,3
164,2.0,2.0,2.0,5.0,2.0,0.0,0.0,3.0,1.0,8.0,1.0,0.0,3.0,3
165,2.0,4.0,2.0,6.0,2.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,2.0,3
166,1.0,3.0,3.0,6.0,5.0,1.0,1.0,3.0,2.0,9.0,1.0,0.0,4.0,3
167,1.0,3.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,9.0,1.0,1.0,4.0,3
168,2.0,2.0,3.0,7.0,4.0,1.0,1.0,2.0,2.0,7.0,1.0,1.0,5.0,3
169,1.0,4.0,4.0,7.0,5.0,2.0,1.0,1.0,1.0,7.0,0.0,1.0,3.0,3
170,0.0,2.0,2.0,4.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,3
171,1.0,1.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,3
172,2.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,8.0,0.0,0.0,4.0,3
173,2.0,5.0,2.0,5.0,3.0,1.0,0.0,4.0,1.0,6.0,0.0,1.0,4.0,3
174,1.0,3.0,2.0,6.0,4.0,1.0,0.0,3.0,2.0,6.0,1.0,0.0,5.0,3
175,1.0,4.0,2.0,4.0,6.0,1.0,0.0,3.0,2.0,9.0,0.0,0.0,5.0,3
176,1.0,2.0,2.0,4.0,6.0,1.0,0.0,4.0,2.0,8.0,0.0,0.0,6.0,3
177,2.0,3.0,3.0,7.0,3.0,2.0,0.0,4.0,2.0,8.0,0.0,0.0,3.0,3
